phase,n_windows,kmeans_cmi_mean,leiden_cmi_mean,ari_mean,nmi_mean,kmeans_sil_mean
pre,6,0.1885964912280702,0.08114035087719297,0.23844880526688983,0.44896810909254253,0.23091961434872635
event,10,0.1539473684210526,0.2013157894736842,0.2246124235889706,0.42211208433619285,0.23568178023768344
post,13,0.22469635627530368,0.104251012145749,0.18496340749096662,0.3788169999578231,0.2288261713952169
