date,regime
2025-10-28,calm
2025-11-04,calm
2025-11-11,calm
2025-11-18,calm
2025-11-25,calm
2025-12-03,calm
2025-12-10,calm
2025-12-17,calm
2025-12-24,calm
2026-01-02,calm
2026-01-09,calm
2026-01-16,calm
2026-01-26,calm
2026-02-02,calm
2026-02-09,calm
2026-02-17,calm
2026-02-24,calm
2026-03-03,calm
