ticker,amf
FXC,0.30299089726918077
AFK,0.2964889466840052
COLO,0.2886866059817945
FXA,0.28608582574772434
EWA,0.27308192457737324
ECH,0.26788036410923277
SLX,0.2535760728218466
COPX,0.24187256176853056
EWZ,0.235370611183355
DBA,0.23016905071521457
EWW,0.22756827048114434
VNM,0.21846553966189858
CORN,0.21326397919375814
EWJ,0.21326397919375814
LIT,0.21326397919375814
UNG,0.2067620286085826
HYG,0.2067620286085826
UUP,0.20546163849154747
EIS,0.18985695708712613
EMB,0.18335500650195058
PCY,0.18335500650195058
XLB,0.17815344603381014
XLU,0.1755526657997399
VNQ,0.17035110533159947
FXB,0.16644993498049415
MINT,0.15604681404421328
PALL,0.15604681404421328
EWS,0.13914174252275682
EIDO,0.13003901170351106
XLP,0.12873862158647595
THD,0.1235370611183355
XLV,0.11573472041612484
VTI,0.10533159947984395
FXE,0.10273081924577374
ITA,0.09102730819245773
SPY,0.08842652795838751
IWM,0.08192457737321196
EWT,0.07802340702210664
EWY,0.0754226267880364
XLY,0.07152145643693109
FXY,0.07022106631989597
SOXX,0.06892067620286085
BWX,0.06501950585175553
RSPN,0.06241872561768531
XLK,0.0611183355006502
XLE,0.05981794538361508
XOP,0.05981794538361508
XLF,0.055916775032509754
QQQ,0.055916775032509754
XLI,0.054616384915474644
PPLT,0.054616384915474644
DIA,0.053315994798439535
CQQQ,0.05201560468140442
GLD,0.05071521456436931
GDX,0.045513654096228866
VTV,0.045513654096228866
SLV,0.04291287386215865
EWN,0.04291287386215865
EWU,0.04161248374512354
DBC,0.02990897269180754
LQD,0.022106631989596878
TIP,0.01950585175552666
FXI,0.018205461638491547
SHY,0.016905071521456438
BNO,0.016905071521456438
TLT,0.016905071521456438
USO,0.016905071521456438
AGG,0.016905071521456438
IEF,0.016905071521456438
VWO,0.015604681404421327
EFA,0.015604681404421327
EEM,0.005201560468140442
EWQ,0.0013003901170351106
EWI,0.0013003901170351106
VGK,0.0013003901170351106
EWG,0.0013003901170351106
