0
SPY
QQQ
IWM
DIA
XLE
XLF
XLV
XLU
XLI
XLK
XLP
XLRE
EFA
EEM
FXI
EWZ
EWJ
VGK
TLT
IEF
SHY
LQD
HYG
EMB
GLD
SLV
GDX
USO
DBA
DBC
VNQ
UUP
FXE
FXY
VIXY
ITA
XAR
TIP
PDBC
GOVT
